"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"alp_cd_start","Someone has started taking the territory close to","Someone has started taking the territory close to","Někdo začal zabírat území blízko","Jemand hat begonnen, das Territorium nahe zu nehmen","Кто -то начал брать территорию близко к","Ktoś zaczął zbierać terytorium blisko","Valaki elkezdte a terület közelében szedni a területet","Qualcuno ha iniziato a prendere il territorio vicino a","Alguien ha comenzado a llevar el territorio cerca de","Quelqu'un a commencé à prendre le territoire près de","有人开始将该领土接近","Alguém começou a levar o território perto de","誰かが近くに領土を取り始めました","有人开始将该领土接近",
"alp_cd_continue","You're taking over the area","You're taking over the area","Přebíráte oblast","Sie übernehmen die Gegend","Вы захватываете этот район","Przejmujesz ten obszar","Átveszi a területet","Stai conquistando la zona","Te estás tomando el control","Vous prenez le contrôle de la région","您正在接管该地区","Você está assumindo a área","あなたはその地域を引き継いでいます","您正在接管该地区",
"alp_cd_fight","Clear the area of ​​enemies!","Clear the area of ​​enemies!","Vyčisti oblast od nepřátel!","Löschen Sie den Bereich der Feinde!","Очистите область врагов!","Wyczyść obszar wrogów!","Tisztítsa meg az ellenségek területét!","Cancella l'area dei nemici!","¡Despeja el área de los enemigos!","Effacez la zone des ennemis!","清除敌人的区域！","Limpe a área dos inimigos!","敵の領域をきれいにしてください！","清除敌人的区域！",
"alp_cd_end","Mission accomplished, this area is yours!","Mission accomplished, this area is yours!","Mise splněna, tato oblast je vaše!","Mission erfüllt, dieser Bereich gehört Ihnen!","Миссия выполнена, эта область ваша!","Misja osiągnięta, ten obszar jest twój!","A küldetés megvalósult, ez a terület a tiéd!","Missione compiuta, questa zona è tua!","Misión cumplida, esta área es tuya!","Mission accomplie, ce domaine vous appartient!","任务完成了，这个区域是您的！","Missão cumprida, esta área é sua!","ミッションが達成された、このエリアはあなたのものです！","任务完成了，这个区域是您的！",
"alp_cd","Time left","Time left","Zbývající čas","Übrige Zeit","Осталось времени","Pozostały czas","Idő maradt","Tempo rimasto","Tiempo restante","Temps restant","剩下的时间","Tempo restante","残り時間","剩下的时间",
"alp_m_savetraders","Save the vendors in","Save the vendors in","Zachraňte prodejce v","Speichern Sie die Anbieter in","Сохранить продавцов в","Zapisz dostawców w","Mentse el a szállítókat","Salva i venditori in","Guardar a los vendedores en","Enregistrer les vendeurs dans","将供应商保存在","Salvar os fornecedores em","ベンダーを保存します","将供应商保存在",
"alp_m_savetraders_dead","None vendors survived this apocalypse","None vendors survived this apocalypse","Žádný prodejce tuto apokalypsu nepřežil","Keine Anbieter überlebten diese Apokalypse","Ни один поставщики не пережил этот апокалипсис","Żaden dostawcy nie przeżyli tej apokalipsy","Egyik gyártó sem élte túl ezt az apokalipszist","Nessuno venditori è sopravvissuto a questa apocalisse","Ninguno de los proveedores sobrevivió a este apocalipsis","Aucun des vendeurs n'a survécu à cette apocalypse","没有供应商在这个启示录中幸存","Nenhum fornecedor sobreviveu a este apocalipse","この黙示録を生き延びたベンダーはありませんでした","没有供应商在这个启示录中幸存",
"alp_m_t_label","Vendor in","Vendor in","Prodejce v","Verkäufer in","Продавец в","Sprzedawca w","Eladó","Fornitore in","Vendedor en","Vendeur","供应商IN","Fornecedor em","ベンダーの","供应商IN",
"alp_m_t_in","You have entered the safe zone","You have entered the safe zone","Vstoupili jste do bezpečné zóny","Sie haben die sichere Zone eingegeben","Вы вошли в безопасную зону","Wszedłeś do bezpiecznej strefy","Belépett a biztonságos zónába","Sei entrato nella zona sicura","Has ingresado a la zona segura","Vous êtes entré dans la zone de sécurité","您进入了安全区域","Você entrou na zona segura","セーフゾーンに入りました","您进入了安全区域",
"alp_m_t_out","You have left the safe zone","You have left the safe zone","Opustili jste bezpečnou zónu","Sie haben die sichere Zone verlassen","Вы оставили безопасную зону","Opuściłeś bezpieczną strefę","Elhagyta a biztonságos zónát","Hai lasciato la zona sicura","Has dejado la zona segura","Vous avez quitté la zone de sécurité","你离开了安全区","Você deixou a zona segura","あなたは安全ゾーンを離れました","你离开了安全区",
"alp_m_t_rebels","Rescue the survivors from the rebels convoy close to","Rescue the survivors from the rebels convoy close to","Zachraňte přeživší z konvoje rebelů poblíž","Retten Sie die Überlebenden aus dem Rebellenkonvoi in der Nähe","Спасти оставшихся в живых из конвой -повстанцев рядом с","Uratować ocalałych z konwoju rebeliantów w pobliżu","Mentse meg a túlélőket a lázadók konvojjától","Salvare i sopravvissuti dal convoglio di ribelli vicino a","Rescate a los sobrevivientes del convoy de rebeldes cerca de","Sauver les survivants du convoi des rebelles près de","从附近的叛军车队中救出幸存者","Resgatar os sobreviventes do comboio dos rebeldes perto de","生存者を近くの反政府勢力から救助します","从附近的叛军车队中救出幸存者",
"alp_m_t_hero","Rescue the survivors from the government convoy close to","Rescue the survivors from the government convoy close to","Zachraňte přeživší z vládního konvoje poblíž","Retten Sie die Überlebenden aus dem Regierungskonvoi in der Nähe","Спасти оставшихся в живых из государственного конвоя близко к","Uratować ocalałych z konwoju rządowego w pobliżu","Mentse meg a túlélőket a közeli kormányzati konvojból","Salvare i sopravvissuti dal convoglio del governo vicino a","Rescate a los sobrevivientes del convoy del gobierno cerca de","Sauver les survivants du convoi du gouvernement près de","从附近的政府车队中救出幸存者","Resgatar os sobreviventes do comboio do governo próximo a","近くの政府輸送船団から生存者を救出します","从附近的政府车队中救出幸存者",
"alp_m_t_h_label","Heroes vendors","Heroes vendors","Prodejce pro hrdiny","Heldenverkäufer","Герои продавцы","Dostawcy bohaterów","Hősök gyártói","Venditori di eroi","Vendedores de héroes","Vendeurs de héros","英雄供应商","Fornecedores de heróis","ヒーローズベンダー","英雄供应商",
"alp_m_t_b_label","Rebels vendors","Rebels vendors","Prodejci rebelů","Rebellenverkäufer","Повстанцы -поставщики","Rebelianci dostawcy","Lázadók gyártói","Venditori di ribelli","Vendedores de rebeldes","Rebels vendeurs","叛军供应商","Rebeldes vendedores","反乱軍のベンダー","叛军供应商",
"alp_m_pp","Power plant","Power plant","Elektrárna","Kraftwerk","Электростанция","Elektrownia","Erőmű","Centrale elettrica","Planta de energía","Centrale électrique","发电站","Usina elétrica","発電所","发电站",
"alp_m_pp_deactivate","You deactivated the pumps","You deactivated the pumps","Deaktivoval jsi čerpadla","Sie deaktivierten die Pumpen","Вы деактивировали насосы","Dezaktywowałeś pompy","Deaktiválta a szivattyúkat","Hai disattivato le pompe","Desactivó las bombas","Vous avez désactivé les pompes","你停用泵","Você desativou as bombas","ポンプを無効にしました","你停用泵",
"alp_m_pp_activate","You activated the pumps","You activated the pumps","Aktivoval jsi čerpadla","Sie haben die Pumpen aktiviert","Вы активировали насосы","Aktywowałeś pompy","Aktiválta a szivattyúkat","Hai attivato le pompe","Activaste las bombas","Vous avez activé les pompes","您激活了泵","Você ativou as bombas","ポンプをアクティブにしました","您激活了泵",
"alp_m_pp_countdown","Critical error in the power plant. Backup pumps are required to be turned on or the plant will explode and contaminate much of country","Critical error in the power plant. Backup pumps are required to be turned on or the plant will explode and contaminate much of country","Kritická chyba v elektrárně. Je nutné zapnout záložní čerpadla, jinak elektrárna exploduje a kontaminuje velkou část země","Kritischer Fehler im Kraftwerk. Backup -Pumpen müssen eingeschaltet werden, oder die Anlage explodiert und kontaminiert einen Großteil des Landes","Критическая ошибка на электростанции. Резервные насосы должны быть включены, или завод взорвется и загрязняет большую часть страны","Błąd krytyczny w elektrowni. Należy włączyć pompy kopii zapasowych, w przeciwnym razie roślina wybuchnie i zanieczyszcza znaczną część kraju","Kritikus hiba az erőműben. A tartalék szivattyúkat be kell kapcsolni, különben a növény felrobban és szennyeződik az ország nagy részében","Errore critico nella centrale elettrica. Le pompe di backup devono essere attivate o l'impianto esploderà e contaminerà gran parte del paese","Error crítico en la planta de energía. Se requiere que las bombas de respaldo se activen o la planta explotará y contaminará gran parte del país","Erreur critique dans la centrale électrique. Les pompes de sauvegarde doivent être activées ou la plante explose et contaminera une grande partie du pays","发电厂的关键错误。需要打开备用泵，否则植物将爆炸并污染国家的大部分地区","Erro crítico na usina. As bombas de backup precisam ser ativadas ou a planta explodirá e contaminará grande parte do país","発電所の重大なエラー。バックアップポンプをオンにする必要があります。そうしないと、植物が爆発し、国の多くが汚染されます","发电厂的关键错误。需要打开备用泵，否则植物将爆炸并污染国家的大部分地区",
"alp_m_pp_dynamite","Get some dynamite (optional)","Get some dynamite (optional)","Získejte dynamit (volitelné)","Holen Sie sich etwas Dynamit (optional)","Получите немного динамита (необязательно)","Zdobądź Dynamite (opcjonalnie)","Szerezzen be egy kis dinamitot (opcionális)","Ottieni un po 'di dinamite (opzionale)","Obtenga un poco de dinamita (opcional)","Obtenez de la dynamite (facultative)","获取一些炸药（可选）","Obtenha alguma dinamite (opcional)","いくつかのダイナマイト（オプション）を取得する","获取一些炸药（可选）",
"alp_m_pp_findcard","Find the access card (optional)","Find the access card (optional)","Najděte přístupovou kartu (volitelné)","Suchen Sie die Zugangskarte (optional)","Найдите карту доступа (необязательно)","Znajdź kartę dostępu (opcjonalnie)","Keresse meg a hozzáférési kártyát (opcionális)","Trova la scheda di accesso (opzionale)","Encuentra la tarjeta de acceso (opcional)","Recherchez la carte d'accès (en option)","查找访问卡（可选）","Encontre o cartão de acesso (opcional)","アクセスカードを見つける（オプション）","查找访问卡（可选）",
"alp_m_pp_blowupdoor","You have to blow up the barricade at the door entrance! Hurry up!","You have to blow up the barricade at the door entrance! Hurry up!","Musíte vyhodit do vzduchu barikádu u vchodu! Pospěš si!","Sie müssen die Barrikade am Türeingang in die Luft jagen! Beeil dich!","Вы должны взорвать баррикаду у входа в дверь! Торопиться!","Musisz wysadzić barykadę przy wejściu do drzwi! Pośpiesz się!","Fel kell robbantania a barikádot az ajtó bejáratánál! Siess!","Devi far esplodere la barricata all'ingresso della porta! Affrettarsi!","¡Tienes que volar la barricada en la entrada de la puerta! ¡Apúrate!","Vous devez faire sauter la barricade à l'entrée de la porte! Dépêche-toi!","您必须炸毁门口入口处的路障！赶快！","Você tem que explodir a barricada na entrada da porta! Se apresse!","ドアの入り口でバリケードを爆破する必要があります！急げ！","您必须炸毁门口入口处的路障！赶快！",
"alp_m_stash","Secret stash","Secret stash","Tajná skrýš","Geheimnis","Секретный тайник","Secret Stash","Titkos botrány","Stash segreto","Alijo secreto","Cachette secrète","秘密藏匿处","Estão secreto","秘密の隠し場所","秘密藏匿处",
"alp_m_stash_near","You are close to stash spot","You are close to stash spot","Jste blízko skrýše","Sie sind in der Nähe des Stash -Spots","Ты близок к тайне","Jesteś blisko Stash Spot","Közel vagy a Stash Spothoz","Sei vicino allo stash spot","Estás cerca de Stash Spot","Vous êtes proche de la tache de cachette","你靠近藏匿处","Você está perto do Stash Spot","あなたは隠しスポットに近いです","你靠近藏匿处",
"alp_m_stash_far","You missed the spot","You missed the spot","Minul jste skrýš","Sie haben den Spot verpasst","Ты пропустил место","Przegapiłeś to miejsce","Hiányzott a helyszín","Ti sei perso il posto","Te perdiste el lugar","Tu as manqué l'endroit","你错过了这个地方","Você perdeu o local","あなたはその場所を逃しました","你错过了这个地方",
"alp_m_pp_barrels","Radioactive barrels","Radioactive barrels","Radioaktivní sudy","Radioaktive Fässer","Радиоактивные бочки","Radioaktywne beczki","Radioaktív hordók","Barili radioattivi","Barriles radiactivos","Barils radioactifs","放射性桶","Barris radioativos","放射性樽","放射性桶",
"alp_m_pp_barrels1","Nuclear accident just happened close to","Nuclear accident just happened close to","Jaderná havárie se stala nedaleko","Nuklearunfall passierte gerade in der Nähe","Ядерная авария просто произошла рядом с","Wypadek nuklearny miał miejsce blisko","A nukleáris baleset csak közel történt","L'incidente nucleare è appena avvenuto vicino","El accidente nuclear ocurrió cerca de","Un accident nucléaire vient de se produire près de","核事故刚刚发生在附近","Acidente nuclear aconteceu perto de","原子力事故がちょうど近くで起こりました","核事故刚刚发生在附近",
"alp_m_pp_barrels2","The world won't be like before!","The world won't be like before!","Svět už nebude jako dřív!","Die Welt wird nicht so sein wie vorher!","Мир не будет таким, как раньше!","Świat nie będzie jak wcześniej!","A világ nem lesz olyan, mint korábban!","Il mondo non sarà come prima!","¡El mundo no será como antes!","Le monde ne sera pas comme avant!","世界不会像以前那样！","O mundo não será como antes!","世界は以前のようにはなりません！","世界不会像以前那样！",
"alp_m_pp_barrels3","The hero sacrificed himself to save humanity. The radioactive barrels were stored deep underground.","The hero sacrificed himself to save humanity. The radioactive barrels were stored deep underground.","Hrdina se obětoval, aby zachránil lidstvo. Radioaktivní sudy byly uloženy hluboko pod zemí.","Der Held opferte sich, um die Menschheit zu retten. Die radioaktiven Fässer wurden tief unterirdisch gelagert.","Герой пожертвовал собой, чтобы спасти человечество. Радиоактивные бочки хранились глубоко под землей.","Bohater poświęcił się, by ocalić ludzkość. Radioaktywne beczki były przechowywane głęboko pod ziemią.","A hős feláldozta magát az emberiség megmentése érdekében. A radioaktív hordókat mélyen a föld alatt tárolták.","L'eroe si è sacrificato per salvare l'umanità. I barili radioattivi sono stati conservati in profondità sotterranei.","El héroe se sacrificó para salvar a la humanidad. Los barriles radiactivos se almacenaron profundamente bajo tierra.","Le héros s'est sacrifié pour sauver l'humanité. Les barils radioactifs ont été stockés profondément sous terre.","英雄牺牲了自己来拯救人类。放射性桶被深入地地下存放。","O herói se sacrificou para salvar a humanidade. Os barris radioativos foram armazenados profundamente no subsolo.","ヒーローは人類を救うために自分自身を犠牲にしました。放射性樽は地下に深く保管されていました。","英雄牺牲了自己来拯救人类。放射性桶被深入地地下存放。",
"alp_m_koh_airport","King of the airport","King of the airport","Král letiště","König des Flughafens","Король аэропорта","Król lotniska","A repülőtér királya","Re dell'aeroporto","Rey del aeropuerto","Roi de l'aéroport","国王","Rei do aeroporto","空港の王","国王",
"alp_m_koh_airport1","Try to take over the airport and hold it it for a while","Try to take over the airport and hold it it for a while","Zkuste převzít letiště a chvíli ho držet","Versuchen Sie, den Flughafen zu übernehmen und ihn für eine Weile zu halten","Попробуйте захватить аэропорт и на некоторое время удерживайте его","Spróbuj przejąć lotnisko i przytrzymać je na chwilę","Próbálja meg átvenni a repülőteret, és tartsa egy ideig","Prova a conquistare l'aeroporto e tenerlo per un po '","Trate de hacerse cargo del aeropuerto y sosténgalo por un tiempo","Essayez de prendre le contrôle de l'aéroport et de le tenir pendant un certain temps","尝试接管机场并持有一段时间","Tente assumir o aeroporto e segurá -lo por um tempo","空港を引き継いで、しばらく保持してみてください","尝试接管机场并持有一段时间",
"alp_m_koh_airport2","New boss in airport","New boss in airport","Nový šéf na letišti","Neuer Chef am Flughafen","Новый босс в аэропорту","Nowy szef na lotnisku","Új főnök a repülőtéren","Nuovo capo in aeroporto","Nuevo jefe en el aeropuerto","Nouveau patron à l'aéroport","机场的新老板","Novo chefe no aeroporto","空港の新しいボス","机场的新老板",
"alp_m_accident1","Train accident just happened close to","Train accident just happened close to","Havárie vlaku blízko","Zugunfall passierte gerade in der Nähe","Авария на тренировке произошла рядом с","Wypadek pociągu właśnie miał miejsce blisko","A vonatbaleset csak közel történt","L'incidente del treno è appena avvenuto vicino a","El accidente de tren acaba de ocurrir cerca de","Un accident de train vient de se produire près de","火车事故刚刚发生","Acidente de trem aconteceu perto de","列車の事故がちょうど近くで起こりました","火车事故刚刚发生",
"alp_m_accident2","The train set has been removed","The train set has been removed","Vlaková souprava byla odstraněna","Das Zugset wurde entfernt","Набор поездов был удален","Zestaw pociągu został usunięty","A vonatkészletet eltávolították","Il set del treno è stato rimosso","El juego de tren ha sido eliminado","L'ensemble de train a été supprimé","火车套件已被拆除","O conjunto de trem foi removido","列車セットが削除されました","火车套件已被拆除",
"alp_m_accident","Train accident","Train accident","Vlakové neštěstí","Zugunfall","Тренировать аварию","Wypadek pociągowy","Vonatbaleset","Incidente in treno","Accidente de tren","Accident de train","火车事故","Acidente de trem","列車事故","火车事故",
"alp_m_train","Derailed train","Derailed train","Vykolejený vlak","Entgleisung","Сорвался с поездом","Wykolejący pociąg","Kisiklott vonat","Treno deragliato","Tren descarrilado","Train déraillé","出轨火车","Trem descarrilado","脱線した列車","出轨火车",
"alp_m_train1","Derailed cargo train close to","Derailed cargo train close to","Vykolejený nákladní vlak blízko","Frachtzug in der Nähe entgleist","Сорвал грузовой поезд рядом с","Wykoleił pociąg ładunkowy w pobliżu","Kisiklott rakományvonat közel","Treno cargo deragliato vicino a","Tren de carga descarrilado cerca de","Train de cargaison déraillée près de","靠近脱轨的货物火车","Trem de carga descarrilado perto de","近くに脱線した貨物列車","靠近脱轨的货物火车",
"alp_m_ambGov","Ambushed gov convoy","Ambushed gov convoy","Přepadený vládní konvoj","Hinterhaltten Governkonvoi","Получил засаду на губернатор","Zasadziła się na konwoju Gov","Becsapott kormány konvoj","Convoglio Gov in agguato","Convoy del gobierno emboscado","Convoi Gov en embuscade","伏击的政府车队","Comboio do governo emboscado","待ち伏せされた政府の船団","伏击的政府车队",
"alp_m_ambRebel","Ambushed rebel convoy","Ambushed rebel convoy","Přepadený konvoj rebelů","Überfallen Rebellenkonvoi","Повторный коловон засада","Zasadziła się na konwoju rebeliantów","Becsapott lázadó konvoj","Convoglio ribelle d'imboscata","Convoy rebelde de emboscado","Convoi rebelle en embuscade","伏击叛军车队","Comboio rebelde emboshado","待ち伏せされた反乱軍の船団","伏击叛军车队",
"alp_m_ambGov1","Government convoy was ambushed close to","Government convoy was ambushed close to","Vládní konvoj byl přepaden blízko","Der staatliche Konvoi wurde in der Nähe überfallen","Государственный конвой был засаду рядом с","Konwój rządowy został zakazany w pobliżu","A kormányzati konvoj közelében volt becsapódva","Il convoglio del governo è stato aggredito vicino a","El convoy del gobierno fue emboscado cerca de","Le convoi du gouvernement a été pris en embuscade près de","政府车队被伏击接近","O comboio do governo foi emboscado perto de","政府の船団は近くに待ち伏せされました","政府车队被伏击接近",
"alp_m_ambRebel1","Rebel convoy was ambushed close to","Rebel convoy was ambushed close to","Konvoj rebelů byl přepaden blízko","Der Rebellenkonvoi wurde in der Nähe überfallen","Повстанческая конвоя попала в засаду рядом с","Rebelian","A lázadó konvoj közelében volt becsapódva","Rebel Convoy è stato aggredito vicino a","El convoy rebelde fue emboscado cerca de","Le convoi rebelle a été pris en embuscade près de","叛军车队被伏击接近","O comboio rebelde foi emboscado perto de","反乱軍の船団は近くに待ち伏せされました","叛军车队被伏击接近",
"alp_m_ambRebel2","Rebel convoy was secured","Rebel convoy was secured","Konvoj rebelů byl zajištěn","Rebellenkonvoi wurde gesichert","Повстанческая конвоя была закреплена","Konwój rebeliantów został zabezpieczony","A lázadó konvojot biztosították","Il convoglio ribelle era assicurato","El convoy rebelde fue asegurado","Le convoi rebelle a été obtenu","叛军车队被固定","O comboio rebelde foi garantido","反乱軍の船団が確保されました","叛军车队被固定",
"alp_m_ambGov2","Government convoy was secured","Government convoy was secured","Vládní konvoj byl zajištěn","Regierungskonvoi wurde gesichert","Государственный конвой был обеспечен","Konwój rządowy został zabezpieczony","Kormányzati konvojot biztosítottak","Il convoglio del governo è stato assicurato","El convoy del gobierno estaba asegurado","Le convoi du gouvernement a été obtenu","政府车队被保证","O comboio do governo foi garantido","政府の船団が確保されました","政府车队被保证",
"alp_m_heli1","Helicopters crashed close to","Helicopters crashed close to","Vrtulníky se zřítily nedaleko","Hubschrauber stürzten nahe bei","Вертолеты потерпели крах рядом с","Helikoptery rozbiły się w pobliżu","A helikopterek közel álltak a közelben","Gli elicotteri si sono schiantati vicino","Los helicópteros se estrellaron cerca de","Les hélicoptères se sont écrasés près de","直升机坠毁接近","Helicópteros caíram perto de","ヘリコプターは近くにcrash落しました","直升机坠毁接近",
"alp_m_heli2","Loot from crashed helicopters was secured","Loot from crashed helicopters was secured","Kořist z havarovaných vrtulníků byla zajištěna","Beute aus abgestürzten Hubschrauber wurde gesichert","Добыча от разбитых вертолетов была закреплена","Zabezpieczone łupy z rozbitych helikopterów","Az összeomlott helikopterekből származó zsákmányt rögzítették","Il bottino dagli elicotteri schiantati è stato assicurato","Se aseguró el botín de helicópteros estrellados","Le butin des hélicoptères écrasés a été sécurisé","坠毁的直升机的战利品得到了保护","O saque de helicópteros acidentados foi garantido","crash落したヘリコプターからの略奪品が確保されました","坠毁的直升机的战利品得到了保护",
"alp_m_heli","Crashed helicopters","Crashed helicopters","Havarované vrtulníky","Stürzte Hubschrauber","Разбитые вертолеты","Rozbite helikoptery","Összeomlott helikopterek","Elicotteri schiantati","Helicópteros estrellados","Hélicoptères écrasés","坠毁的直升机","Helicópteros quebrados","crash落したヘリコプター","坠毁的直升机",
"alp_q_find","Find","Find","Najdi","Finden","Находить","Odnaleźć","megtalálja","Trovare","Encontrar","Trouver","寻找","Achar","探す","寻找",
"alp_q_camp","Abandoned camp","Abandoned camp","Opuštěný tábor","Verlassenes Lager","Заброшенный лагерь","Opuszczony obóz","Elhagyott tábor","Campo abbandonato","Campamento abandonado","Camp abandonné","废弃的营地","Acampamento abandonado","放棄されたキャンプ","废弃的营地",
"alp_q_camp1","Abandoned camp close to","Abandoned camp close to","Opuštěný tábor blízko","Verlassenes Lager in der Nähe","Заброшенный лагерь рядом с","Opuszczony obóz w pobliżu","Elhagyott tábor közel","Campo abbandonato vicino a","Campamento abandonado cerca de","Camp abandonné près de","靠近附近的废弃营地","Acampamento abandonado perto de","近くに放棄されたキャンプ","靠近附近的废弃营地",
"alp_q_camp2","Abandoned camp was looted","Abandoned camp was looted","Opuštěný tábor byl vydrancován","Verlassenes Lager wurde geplündert","Заброшенный лагерь был разграблен","Opuszczony obóz został splądrowany","Az elhagyott tábor fosztogatott","Il campo abbandonato è stato saccheggiato","El campamento abandonado fue saqueado","Le camp abandonné a été pillé","废弃的营地被抢劫","Acampamento abandonado foi saqueado","放棄されたキャンプが略奪されました","废弃的营地被抢劫",
"alp_m_fs","Fuel Station","Fuel Station","Čerpací stanice","Tankstelle","Заправка","Stacja benzynowa","Benzinkút","Stazione di servizio","Gasolinera","Station essence","加油站","Posto de gasolina","燃料ステーション","加油站",
"alp_m_fs1","Extra fuel supplies have been discovered close to","Extra fuel supplies have been discovered close to","Byly objeveny další zásoby paliva poblíž","In der Nähe wurden zusätzliche Kraftstoffversorgung entdeckt","Дополнительные поставки топлива были обнаружены рядом с","Dodatkowe zapasy paliwowe zostały odkryte w pobliżu","Extra üzemanyag -kellékeket fedeztek fel közel","Forniture extra di carburante sono state scoperte vicino a","Se han descubierto suministros de combustible adicionales cerca de","Des fournitures de carburant supplémentaires ont été découvertes près de","已经发现了额外的燃料供应","Suprimentos extras de combustível foram descobertos perto de","余分な燃料供給が近くで発見されました","已经发现了额外的燃料供应",
"alp_m_fs2","Fuel supplies have been looted","Fuel supplies have been looted","Zásoby paliva byly vyrabovány","Kraftstoffversorgung wurde geplündert","Топливные принадлежности были разграблены","Zapasy paliwowe zostały splądrowane","Az üzemanyag -készleteket kifosztották","Le forniture di carburante sono state saccheggiate","Se han saqueado suministros de combustible","Les fournitures de carburant ont été pillées","燃料供应已被掠夺","Os suprimentos de combustível foram saqueados","燃料供給は略奪されています","燃料供应已被掠夺",
"alp_m_sc","Scientific complex","Scientific complex","Vědecký komplex","Wissenschaftlicher Komplex","Научный комплекс","Kompleks naukowy","Tudományos komplexum","Complesso scientifico","Complejo científico","Complexe scientifique","科学综合体","Complexo científico","科学的複合体","科学综合体",
"alp_m_sc_deactivate","You disabled core cooling","You disabled core cooling","Deaktivoval si chlazení jádra","Sie haben die Kernkühlung deaktiviert","Вы отключили охлаждение ядра","Wyłączyłeś Core Cooling","Ön letiltotta a Core hűtést","Hai disabilitato il raffreddamento core","Usted discapacitó el enfriamiento del núcleo","Vous refroidissez le noyau désactivé","您禁用核心冷却","Você desativou o refrigeração do núcleo","コア冷却を無効にしました","您禁用核心冷却",
"alp_m_sc_activate","You have enabled core cooling","You have enabled core cooling","Aktivoval si chlazení jádra","Sie haben die Kernkühlung aktiviert","Вы включили охлаждение ядра","Włączyłeś Core Cooling","Engedélyezte a maghűtést","Hai abilitato il raffreddamento core","Ha habilitado el enfriamiento del núcleo","Vous avez activé le refroidissement du noyau","您已经启用了核心冷却","Você ativou o refrigeração do núcleo","コア冷却を可能にしました","您已经启用了核心冷却",
"alp_m_sc_countdown","Critical error in scientific complex. The core is overheating. The core must be cooled otherwise explode","Critical error in scientific complex. The core is overheating. The core must be cooled otherwise explode","Kritická chyba ve vědeckém komplexu. Jádro se přehřívá. Jádro musí být ochlazeno, jinak exploduje","Kritischer Fehler im wissenschaftlichen Komplex. Der Kern ist überhitzt. Der Kern muss abgekühlt werden, ansonsten explodieren","Критическая ошибка в научном комплексе. Ядро перегревается. Ядро должно быть охлаждено в противном случае взорваться","Błąd krytyczny w kompleksie naukowym. Rdzeń przegrzewa się. Rdzeń musi być chłodzony inaczej eksploduj","Kritikus hiba a tudományos komplexben. A mag túlmelegedés. A magot egyébként fel kell hűteni","Errore critico nel complesso scientifico. Il nucleo si surriscalda. Il nucleo deve essere raffreddato altrimenti esplodere","Error crítico en el complejo científico. El núcleo está sobrecalentando. El núcleo debe enfriarse de otra manera explotar","Erreur critique dans le complexe scientifique. Le noyau surchauffe. Le noyau doit être refroidi autrement exploser","科学综合体的关键错误。核心过热。核心必须冷却，否则爆炸","Erro crítico no complexo científico. O núcleo está superaquecendo. O núcleo deve ser resfriado de outra forma explodido","科学複合体の重大なエラー。コアは過熱しています。そうでなければ、コアを冷却する必要があります","科学综合体的关键错误。核心过热。核心必须冷却，否则爆炸",
"alp_m_medtent","Decontamination tent","Decontamination tent","Dekontaminační stan","Dekontaminationszelt","Дезактивация палатка","Namiot odkażania","Fertőtlenítő sátor","Tenda di decontaminazione","Carpa de descontaminación","Tente de décontamination","净化帐篷","Tenda de descontaminação","除染テント","净化帐篷",
"alp_m_atm","ATM","ATM","bankomat","Geldautomat","Банкомат","bankomat","ATM","ATM","Cajero automático","AU M","ATM","Atm","ATM","ATM",
"alp_m_koh_city","King of the city","King of the city","Král města","König der Stadt","Король города","Król miasta","A város királya","Re della città","Rey de la ciudad","Roi de la ville","city","Rei da cidade","街の王","city",
"alp_m_t_titles","Vendors","Vendors","Prodejci","Anbieter","Продавцы","Dostawcy","Gyártók","Venditori","Vendedores","Vendeurs","供应商","Fornecedores","ベンダー","供应商",
"alp_m_drop","Heli Drop","Heli Drop","Heli Drop","Heli Drop","Heli Drop","Heli Drop","Heli csepp","Heli Drop","Heli Drop","Hélice","直升机","Heli Drop","ヘリドロップ","直升机",
"alp_m_drop1","The container has been  dropped close to","The container has been  dropped close to","Kontejner byl shozen blízko","Der Container wurde in der Nähe fallen","Контейнер был сброшен рядом с","Pojemnik został upuszczony w pobliżu","A tartályt közelről dobták el","Il contenitore è stato lanciato vicino a","El contenedor se ha dejado caer cerca de","Le conteneur a été déposé près de","该容器已落在附近","O contêiner foi retirado de","容器は近くに落とされています","该容器已落在附近",
"alp_m_drop2","Supplies has been taken","Supplies has been taken","Zásoby byly odebrány","Vorräte wurden genommen","Поставки были взяты","Zapasy zostały pobrane","A készleteket elkészítették","Sono state prese forniture","Se han tomado suministros","Les fournitures ont été prises","供应已被收购","Suprimentos foram tomados","物資が撮影されました","供应已被收购",
"alp_m_nr_0","Transmitter","Transmitter","Vysílač","Sender","Передатчик","Nadajnik","Adó","Trasmettitore","Transmisor","Émetteur","发射机","Transmissor","送信機","发射机",
